job_parent_category,job_sub_category,job_skill_name,中文職位名稱關鍵字
Marketing / Brand / Growth,Brand / Campaign Marketing,Marketing Specialist,"行銷, 行銷企劃, 行銷管理, 行銷執行, 行銷策略, 行銷規劃, 行銷活動, Marketing"
Marketing / Brand / Growth,Brand / Campaign Marketing,Marketing Associate,"行銷, 行銷企劃, 行銷企劃助理, 初階行銷, 基礎行銷"
Marketing / Brand / Growth,Brand / Campaign Marketing,Brand Specialist,"品牌, 品牌行銷, 品牌企劃, 品牌管理, 品牌策略, 品牌定位"
Marketing / Brand / Growth,Brand / Campaign Marketing,Brand Manager,"品牌, 品牌行銷, 品牌管理, 品牌經營, 品牌策略, 品牌主管"
Marketing / Brand / Growth,Brand / Campaign Marketing,Campaign Specialist,"活動行銷, 行銷活動, 活動企劃, 行銷專案, Campaign, 行銷檔期"
Marketing / Brand / Growth,Brand / Campaign Marketing,Integrated Marketing Specialist,"整合行銷, 整合行銷企劃, 整合行銷規劃, 整合溝通, IMC, IMC規劃"
Marketing / Brand / Growth,Digital / Performance / Growth,Digital Marketing Specialist,"數位行銷, 數位行銷企劃, 線上行銷, Digital Marketing, 網路行銷, 網路行銷企劃, 數位廣告, 數位推廣"
Marketing / Brand / Growth,Digital / Performance / Growth,Growth Marketing Analyst,"成長行銷, 增長行銷, Growth Marketing, 用戶成長, 產品成長, 成長策略, 成長實驗"
Marketing / Brand / Growth,Digital / Performance / Growth,Performance Marketing Analyst,"成效行銷, 績效行銷, Performance Marketing, 廣告投放, 成效廣告, 績效廣告, 轉換優化, 成效優化"
Marketing / Brand / Growth,Digital / Performance / Growth,Paid Media Specialist,"媒體投放, 付費媒體, Paid Media, 廣告投放, 數位廣告投放, 付費流量, 付費投放"
Marketing / Brand / Growth,Digital / Performance / Growth,SEO Specialist,"SEO, 搜尋引擎優化, SEO優化, SEO行銷, 搜尋排名優化, 網站優化"
Marketing / Brand / Growth,Digital / Performance / Growth,SEM Specialist,"SEM, 搜尋引擎行銷, 關鍵字廣告, 搜尋廣告投放, 搜尋廣告, 關鍵字投放"
Marketing / Brand / Growth,Digital / Performance / Growth,SEO/SEM Specialist,"SEO/SEM, 搜尋行銷, 搜尋引擎行銷, 搜尋廣告, 搜尋廣告投放"
Marketing / Brand / Growth,CRM / Content / Lifecycle,CRM Specialist,"CRM, 顧客關係管理, 客戶關係管理, 會員經營, 會員管理, 客戶經營"
Marketing / Brand / Growth,CRM / Content / Lifecycle,CRM Marketing Specialist,"CRM行銷, 會員行銷, 顧客經營行銷, 會員經營, 會員經營行銷"
Marketing / Brand / Growth,CRM / Content / Lifecycle,Content Marketing Specialist,"內容行銷, 內容企劃, 內容行銷企劃, Content Marketing, 內容策略, 內容規劃"
Marketing / Brand / Growth,CRM / Content / Lifecycle,Lifecycle Marketing Specialist,"生命週期行銷, 用戶生命週期行銷, 會員生命週期行銷, 用戶旅程, 用戶生命周期, 會員生命周期"
Marketing / Brand / Growth,CRM / Content / Lifecycle,Retention Marketing Specialist,"留存行銷, 用戶留存行銷, 會員留存行銷, Retention, 用戶留存, 會員留存"
Market Research / Consumer Insight,Market Research,Market Research Analyst,"市場研究, 市場調查, 市場分析, 市調, 市場研究分析, 市場調查分析"
Market Research / Consumer Insight,Market Research,Research Associate,"研究, 研究助理, 研究員, 產業研究, 市場研究, Research"
Market Research / Consumer Insight,Market Research,Survey Analyst,"問卷分析, 問卷調查, 問卷研究, 調查分析, 問卷數據分析"
Market Research / Consumer Insight,Market Research,Consumer Research Analyst,"消費者研究, 消費者洞察, 消費者行為, 消費者研究分析, 消費者行為研究"
Market Research / Consumer Insight,Consumer / Customer Insight,Consumer Insights Analyst,"消費者洞察, 消費者分析, 消費者研究, 消費者見解, 消費者洞察研究"
