role_normalized,domain,tech_depth
Business Analyst,Business Analytics,BA
Business Intelligence Analyst,Business Analytics,DA
BI Analyst,Business Analytics,DA
Analytics Consultant,Business Analytics,DA
Strategy Analyst,Business Analytics,BA
BI Developer,Business Analytics,DE
Reporting Analyst,Business Analytics,DA
Dashboard Analyst,Business Analytics,DA
Data Visualization Analyst,Business Analytics,DA
Data Analyst,Business Analytics,DA
Financial Data Analyst,Business Analytics,DA
FP&A Analyst,Business Analytics,DA
Financial Planning Analyst,Business Analytics,DA
Budget Analyst,Business Analytics,DA
Corporate Finance Analyst,Business Analytics,BA
Strategic Finance Analyst,Business Analytics,BA
Commercial Finance Analyst,Business Analytics,DA
Revenue Analyst,Business Analytics,DA
Pricing Analyst,Business Analytics,DA
Revenue Operations Analyst,Business Analytics,DA
Corporate Strategy Analyst,Business Analytics,BA
Strategic Planning Analyst,Business Analytics,BA
Strategic Initiatives Analyst,Business Analytics,BA
Business Transformation Analyst,Business Analytics,BA
Data Engineer,Business Analytics,DE
Data Pipeline Engineer,Business Analytics,DE
ETL Developer,Business Analytics,DE
Analytics Engineer,Business Analytics,DE
BI Engineer,Business Analytics,DE
Data Warehouse Analyst,Business Analytics,DE
Database Analyst,Business Analytics,DE
Data Platform Analyst,Business Analytics,DE
Data Operations Analyst,Business Analytics,DE
Product Analyst,Product Analytics,DA
Growth Product Analyst,Product Analytics,DA
Product Operations Analyst,Product Analytics,DA
Product Strategy Analyst,Product Analytics,BA
Marketplace Analyst,Product Analytics,DA
CRM & Lifecycle Analyst,Product Analytics,DA
Decision Scientist,Product Analytics,DS
Customer Insights Analyst,Product Analytics,DA
Data Scientist,Product Analytics,DS
Statistical Analyst,Product Analytics,DS
Statistician,Product Analytics,DS
Forecasting Analyst,Product Analytics,DS
Predictive Analytics Analyst,Product Analytics,DS
Applied Scientist,Product Analytics,DS
Machine Learning Analyst,Product Analytics,DS
Quantitative Analyst,Product Analytics,DS
Quantitative Research Analyst,Product Analytics,DS
Risk Modeling Analyst,Product Analytics,DS
Marketing Analyst,Marketing Analytics,DA
Growth Marketing Analyst,Marketing Analytics,DA
Performance Marketing Analyst,Marketing Analytics,DA
Consumer Insights Analyst,Marketing Analytics,DA
Market Research Analyst,Marketing Analytics,BA
Survey Analyst,Marketing Analytics,DA
Consumer Research Analyst,Marketing Analytics,BA
User Research Analyst,Marketing Analytics,BA
Competitive Intelligence Analyst,Marketing Analytics,BA
Market Intelligence Analyst,Marketing Analytics,BA
Industry Research Analyst,Marketing Analytics,BA
Operations Analyst,Operations Analytics,BA
Business Operations Analyst,Operations Analytics,DA
Strategy & Operations Analyst,Operations Analytics,BA
Supply Chain Analyst,Operations Analytics,DA
Logistics Analyst,Operations Analytics,DA
Distribution Analyst,Operations Analytics,DA
Demand Planner,Operations Analytics,DS
Inventory Analyst,Operations Analytics,DA
PMO Analyst,Operations Analytics,BA
Operations Excellence Analyst,Operations Analytics,BA
