keyword,mapped_roles_count,sample_roles,notes
BI分析師,2,"BI Analyst, Business Intelligence Analyst",104 search keyword pool; deduped from role-level primary keywords
BI工程師,1,BI Engineer,104 search keyword pool; deduped from role-level primary keywords
BI開發工程師,1,BI Developer,104 search keyword pool; deduped from role-level primary keywords
BizOps分析師,1,Business Operations Analyst,104 search keyword pool; deduped from role-level primary keywords
BizOps專員,1,Business Operations Associate,104 search keyword pool; deduped from role-level primary keywords
CRM分析師,1,CRM Analyst,104 search keyword pool; deduped from role-level primary keywords
CRM系統分析師,1,CRM Analyst,104 search keyword pool; deduped from role-level primary keywords
DX顧問,1,Digital Transformation Consultant,104 search keyword pool; deduped from role-level primary keywords
Dashboard開發分析師,1,Dashboard Analyst,104 search keyword pool; deduped from role-level primary keywords
DevRel專員,1,Developer Relations Associate,104 search keyword pool; deduped from role-level primary keywords
ERM分析師,1,Enterprise Risk Analyst,104 search keyword pool; deduped from role-level primary keywords
ERP分析師,1,ERP Analyst,104 search keyword pool; deduped from role-level primary keywords
ERP顧問,1,ERP Analyst,104 search keyword pool; deduped from role-level primary keywords
ESG顧問,1,ESG Consultant,104 search keyword pool; deduped from role-level primary keywords
ETL工程師,1,ETL Developer,104 search keyword pool; deduped from role-level primary keywords
ETL開發工程師,1,ETL Developer,104 search keyword pool; deduped from role-level primary keywords
GTM專員,1,Go-to-Market Specialist,104 search keyword pool; deduped from role-level primary keywords
GTM策略分析師,1,GTM Strategy Analyst,104 search keyword pool; deduped from role-level primary keywords
GTM經理,1,GTM Manager,104 search keyword pool; deduped from role-level primary keywords
HR分析師,1,HR Analyst,104 search keyword pool; deduped from role-level primary keywords
HR專員,1,HR Specialist,104 search keyword pool; deduped from role-level primary keywords
HR顧問,1,Human Capital Consultant,104 search keyword pool; deduped from role-level primary keywords
IT商業分析師,1,IT Business Analyst,104 search keyword pool; deduped from role-level primary keywords
IT稽核,1,IT Auditor,104 search keyword pool; deduped from role-level primary keywords
ML分析師,1,Machine Learning Analyst,104 search keyword pool; deduped from role-level primary keywords
OD分析師,1,Organizational Development Analyst,104 search keyword pool; deduped from role-level primary keywords
PMM專員,1,Product Marketing Specialist,104 search keyword pool; deduped from role-level primary keywords
RevOps分析師,1,Revenue Operations Analyst,104 search keyword pool; deduped from role-level primary keywords
S&O分析師,1,Strategy & Operations Analyst,104 search keyword pool; deduped from role-level primary keywords
SEO專員,1,SEO Specialist,104 search keyword pool; deduped from role-level primary keywords
VC分析師,1,Venture Capital Analyst,104 search keyword pool; deduped from role-level primary keywords
上市分析師,1,Go-to-Market Analyst,104 search keyword pool; deduped from role-level primary keywords
上市策略分析師,1,GTM Strategy Analyst,104 search keyword pool; deduped from role-level primary keywords
上市策略專員,1,Go-to-Market Specialist,104 search keyword pool; deduped from role-level primary keywords
上市策略經理,1,GTM Manager,104 search keyword pool; deduped from role-level primary keywords
交易分析師,1,Sales & Trading Analyst,104 search keyword pool; deduped from role-level primary keywords
人力資本顧問,1,Human Capital Consultant,104 search keyword pool; deduped from role-level primary keywords
人員分析師,1,People Analyst,104 search keyword pool; deduped from role-level primary keywords
