role_normalized,alias,lang,notes
Marketing Specialist,Marketing Specialist,en,
Marketing Specialist,marketing specialist,en,
Marketing Specialist,marketing exec,en,
Marketing Specialist,marketing executive,en,
Marketing Specialist,marketing coordinator,en,
Marketing Specialist,marketing officer,en,
Marketing Specialist,行銷專員,zh,
Marketing Specialist,行銷企劃,zh,
Marketing Specialist,行銷管理師,zh,
Marketing Specialist,行銷執行,zh,
Marketing Specialist,Marketing專員,mixed,
Marketing Associate,Marketing Associate,en,
Marketing Associate,marketing associate,en,
Marketing Associate,marketing assistant,en,
Marketing Associate,junior marketing specialist,en,
Marketing Associate,marketing coordinator,en,
Marketing Associate,行銷助理,zh,
Marketing Associate,初階行銷專員,zh,
Marketing Associate,行銷企劃助理,zh,
Marketing Associate,行銷專員,zh,
Brand Specialist,Brand Specialist,en,
Brand Specialist,brand specialist,en,
Brand Specialist,brand marketing specialist,en,
Brand Specialist,brand executive,en,
Brand Specialist,brand coordinator,en,
Brand Specialist,品牌專員,zh,
Brand Specialist,品牌行銷專員,zh,
Brand Specialist,品牌企劃,zh,
Brand Specialist,品牌管理師,zh,
Brand Manager,Brand Manager,en,
Brand Manager,brand manager,en,
Brand Manager,brand lead,en,
Brand Manager,brand marketing manager,en,
Brand Manager,brand management manager,en,
Brand Manager,品牌經理,zh,
Brand Manager,品牌行銷經理,zh,
Brand Manager,品牌主管,zh,
Brand Manager,品牌管理,zh,
Campaign Specialist,Campaign Specialist,en,
Campaign Specialist,campaign specialist,en,
Campaign Specialist,campaign executive,en,
Campaign Specialist,campaign marketing specialist,en,
Campaign Specialist,marketing campaign specialist,en,
Campaign Specialist,活動行銷專員,zh,
Campaign Specialist,Campaign專員,mixed,
Campaign Specialist,行銷活動企劃,zh,
Campaign Specialist,專案行銷專員,zh,
Integrated Marketing Specialist,Integrated Marketing Specialist,en,
Integrated Marketing Specialist,integrated marketing specialist,en,
Integrated Marketing Specialist,imc specialist,en,
Integrated Marketing Specialist,integrated marketing communications specialist,en,
Integrated Marketing Specialist,integrated marketing executive,en,
Integrated Marketing Specialist,整合行銷專員,zh,
Integrated Marketing Specialist,整合行銷企劃,zh,
Integrated Marketing Specialist,IMC專員,mixed,
Integrated Marketing Specialist,整合行銷管理師,zh,
Digital Marketing Specialist,Digital Marketing Specialist,en,
