skill_parent_category,skill_sub_category,canonical_skill_name,alias,lang,notes
BI & Data Visualization,BI Tools,Ahrefs,ahrefs,en,exact_lower
BI & Data Visualization,BI Tools,Amplitude,amplitude,en,exact_lower
BI & Data Visualization,BI Tools,Apache Superset,apache superset,en,exact_lower
BI & Data Visualization,BI Tools,Apache Superset,Superset,en,from_SKILL_CATALOG; catalog_key=Superset
BI & Data Visualization,BI Tools,Clarity,clarity,en,exact_lower
BI & Data Visualization,BI Tools,Google Analytics,\bga\b,en,from_SKILL_CATALOG; regex; catalog_key=Marketing Analytics Tools
BI & Data Visualization,BI Tools,Google Analytics,ga4,en,product
BI & Data Visualization,BI Tools,Google Analytics,google analytics,en,exact_lower
BI & Data Visualization,BI Tools,Google Analytics,google analytics 4,en,product
BI & Data Visualization,BI Tools,Google Search Console,google search console,en,exact_lower
BI & Data Visualization,BI Tools,Google Search Console,gsc,en,abbrev
BI & Data Visualization,BI Tools,Google Search Console,search console,en,from_SKILL_CATALOG; catalog_key=Marketing Analytics Tools
BI & Data Visualization,BI Tools,Google Tag Manager,google tag manager,en,exact_lower
BI & Data Visualization,BI Tools,Google Tag Manager,gtm,en,abbrev
BI & Data Visualization,BI Tools,Grafana,grafana,en,exact_lower
BI & Data Visualization,BI Tools,Grafana,grafana dashboard,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Hotjar,hotjar,en,exact_lower
BI & Data Visualization,BI Tools,Kibana,elastic stack,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Kibana,elasticsearch,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Kibana,elk,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Kibana,kibana,en,exact_lower
BI & Data Visualization,BI Tools,Looker,looker,en,exact_lower
BI & Data Visualization,BI Tools,Looker,lookml,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Looker Studio,data studio,en,old name
BI & Data Visualization,BI Tools,Looker Studio,google data studio,en,old name
BI & Data Visualization,BI Tools,Looker Studio,locker studio,en,from_SKILL_CATALOG; catalog_key=Looker
BI & Data Visualization,BI Tools,Looker Studio,looker studio,en,exact_lower
BI & Data Visualization,BI Tools,Metabase,metabase,en,exact_lower
BI & Data Visualization,BI Tools,MicroStrategy,microstrategy,en,exact_lower
BI & Data Visualization,BI Tools,MicroStrategy,mstr,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Mixpanel,mixpanel,en,exact_lower
BI & Data Visualization,BI Tools,Power BI,dax,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Power BI,microsoft power bi,en,vendor
BI & Data Visualization,BI Tools,Power BI,pbi,en,abbrev
BI & Data Visualization,BI Tools,Power BI,power bi,en,exact_lower
BI & Data Visualization,BI Tools,Power BI,power bi desktop,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Power BI,power bi service,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Power BI,power-bi,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Power BI,powerbi,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Qlik,qlik,en,exact_lower
BI & Data Visualization,BI Tools,Qlik,qlik sense,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Qlik,qliksense,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Qlik,qlikview,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,SEMrush,sem rush,en,spacing
BI & Data Visualization,BI Tools,SEMrush,semrush,en,exact_lower
BI & Data Visualization,BI Tools,Tableau,tableau,en,exact_lower
BI & Data Visualization,BI Tools,Tableau,tableau desktop,en,product
BI & Data Visualization,BI Tools,Tableau,tableau prep,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Tableau,tableau public,en,from_SKILL_CATALOG
BI & Data Visualization,BI Tools,Tableau,tableau server,en,product
BI & Data Visualization,Dashboarding,Dashboard Development,dashboard,en,short
BI & Data Visualization,Dashboarding,Dashboard Development,dashboard development,en,exact_lower
BI & Data Visualization,Dashboarding,Dashboard Development,儀表板開發,zh,中文
BI & Data Visualization,Dashboarding,Dashboard Development,看板開發,zh,中文
BI & Data Visualization,Dashboarding,Executive Reporting,executive reporting,en,exact_lower
BI & Data Visualization,Dashboarding,Executive Reporting,management reporting,en,related
BI & Data Visualization,Dashboarding,Executive Reporting,高階主管報告,zh,中文
BI & Data Visualization,Dashboarding,KPI Reporting,kpi report,en,variant
BI & Data Visualization,Dashboarding,KPI Reporting,kpi reporting,en,exact_lower
BI & Data Visualization,Dashboarding,KPI Reporting,kpi 報表,mixed,常見混寫
BI & Data Visualization,Dashboarding,Management Reporting,management report,en,variant
BI & Data Visualization,Dashboarding,Management Reporting,management reporting,en,exact_lower
BI & Data Visualization,Dashboarding,Management Reporting,管理報表,zh,中文
BI & Data Visualization,Data Visualization,Chart Design,chart design,en,exact_lower
BI & Data Visualization,Data Visualization,Chart Design,dashboard design,en,from_SKILL_CATALOG; catalog_key=Data Visualization
BI & Data Visualization,Data Visualization,Chart Design,圖表設計,zh,中文
BI & Data Visualization,Data Visualization,Data Storytelling,business insight,en,from_SKILL_CATALOG
BI & Data Visualization,Data Visualization,Data Storytelling,data storytelling,en,exact_lower
BI & Data Visualization,Data Visualization,Data Storytelling,insight communication,en,from_SKILL_CATALOG
BI & Data Visualization,Data Visualization,Data Storytelling,數據敘事,zh,中文
BI & Data Visualization,Data Visualization,Data Visualization,d3.js,en,from_SKILL_CATALOG
BI & Data Visualization,Data Visualization,Data Visualization,data visualisation,en,UK spelling
BI & Data Visualization,Data Visualization,Data Visualization,data visualization,en,exact_lower
BI & Data Visualization,Data Visualization,Data Visualization,dataviz,en,short
BI & Data Visualization,Data Visualization,Data Visualization,visualization,en,from_SKILL_CATALOG
BI & Data Visualization,Data Visualization,Data Visualization,資料視覺化,zh,中文
BI & Data Visualization,Data Visualization,Interactive Dashboard,dashboard,en,from_SKILL_CATALOG; catalog_key=Data Visualization
BI & Data Visualization,Data Visualization,Interactive Dashboard,interactive dashboard,en,exact_lower
BI & Data Visualization,Data Visualization,Interactive Dashboard,互動式儀表板,zh,中文
BI & Data Visualization,Data Visualization,Interactive Dashboard,互動式看板,zh,中文
Communication & Languages,Communication,Communication,communication,en,exact_lower
Communication & Languages,Communication,Communication,communication skills,en,variant
Communication & Languages,Communication,Communication,verbal communication,en,from_SKILL_CATALOG
Communication & Languages,Communication,Communication,溝通能力,zh,中文
Communication & Languages,Communication,English Communication,business english,en,related
Communication & Languages,Communication,English Communication,english communication,en,exact_lower
Communication & Languages,Communication,English Communication,英文溝通,zh,中文
Communication & Languages,Communication,Presentation Skills,presentation,en,short
Communication & Languages,Communication,Presentation Skills,presentation skills,en,exact_lower
Communication & Languages,Communication,Presentation Skills,簡報能力,zh,中文
Communication & Languages,Communication,Written Communication,business writing,en,related
Communication & Languages,Communication,Written Communication,written communication,en,exact_lower
Communication & Languages,Communication,Written Communication,書面溝通,zh,中文
Communication & Languages,Languages,English,\b英文\b,mixed,from_SKILL_CATALOG; regex
Communication & Languages,Languages,English,\b英語\b,mixed,from_SKILL_CATALOG; regex
Communication & Languages,Languages,English,english,en,exact_lower
Communication & Languages,Languages,English,英文,zh,中文
Communication & Languages,Languages,Japanese,\b日文\b,mixed,from_SKILL_CATALOG; regex
Communication & Languages,Languages,Japanese,\b日語\b,mixed,from_SKILL_CATALOG; regex
Communication & Languages,Languages,Japanese,japanese,en,exact_lower
Communication & Languages,Languages,Japanese,jlpt,en,from_SKILL_CATALOG
Communication & Languages,Languages,Japanese,日文,zh,中文
Communication & Languages,Languages,Japanese,日語,zh,中文
Communication & Languages,Problem Solving,Analytical Thinking,analytical thinking,en,exact_lower
Communication & Languages,Problem Solving,Analytical Thinking,分析思維,zh,中文
Communication & Languages,Problem Solving,Critical Thinking,critical thinking,en,exact_lower
Communication & Languages,Problem Solving,Critical Thinking,批判性思考,zh,中文
Communication & Languages,Problem Solving,Problem Solving,problem solving,en,exact_lower
Communication & Languages,Problem Solving,Problem Solving,problem-solving,en,hyphen
Communication & Languages,Problem Solving,Problem Solving,self-motivated,en,from_SKILL_CATALOG
Communication & Languages,Problem Solving,Problem Solving,問題解決,zh,中文
Consulting & Strategy,Consulting Toolkit,Benchmarking,benchmark,en,short
Consulting & Strategy,Consulting Toolkit,Benchmarking,benchmark analysis,en,from_SKILL_CATALOG; catalog_key=Competitive Analysis
Consulting & Strategy,Consulting Toolkit,Benchmarking,benchmarking,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Benchmarking,標竿分析,zh,中文
Consulting & Strategy,Consulting Toolkit,Business Case,business case,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Business Case,商業案例,zh,中文
Consulting & Strategy,Consulting Toolkit,Business Case,商業論證,zh,中文
Consulting & Strategy,Consulting Toolkit,Case Study,case study,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Case Study,個案分析,zh,中文
Consulting & Strategy,Consulting Toolkit,Executive Presentation,exec presentation,en,short
Consulting & Strategy,Consulting Toolkit,Executive Presentation,executive presentation,en,exact_lower
Consulting & Strategy,Consulting Toolkit,Executive Presentation,高階簡報,zh,中文
