skill_parent_category,skill_sub_category,canonical_skill_name,alias,alias_type,requires_context,priority,ambiguity_score,match_mode,positive_context,negative_context,enabled,notes
Statistics & Experimentation,Analytics Methods,Root Cause Analysis,rca,risky_abbrev,TRUE,20,8,token,,,TRUE,abbrev; context_guard
Finance & Accounting,Audit / Tax,Tax,tax,risky_abbrev,TRUE,20,8,token,,,TRUE,exact_lower; context_guard
Finance & Accounting,Audit / Tax,Transfer Pricing,tp,risky_abbrev,TRUE,20,8,token,,,TRUE,abbrev; context_guard
BI & Data Visualization,BI Tools,Google Analytics,ga,risky_abbrev,TRUE,15,9,token,google analytics|ga4|web analytics|tag manager|tracking|marketing analytics,general availability|georgia,TRUE,abbrev; context_guard
BI & Data Visualization,BI Tools,Google Analytics,ga4,risky_abbrev,TRUE,20,8,token,,,TRUE,product; context_guard
Programming & Scripting,Business Automation,Google Apps Script,gas,risky_abbrev,TRUE,20,8,token,google apps script|apps script|google sheets|spreadsheet automation,natural gas|oil and gas|gas station,TRUE,abbrev; context_guard
Sales / BD / Customer Success,Business Development,Business Development,bd,risky_abbrev,TRUE,20,8,token,,,TRUE,abbrev; context_guard
Information Systems & Enterprise Tools,Business Systems,Business Systems Analysis,bsa,risky_abbrev,TRUE,20,8,token,,,TRUE,abbrev; context_guard
Information Systems & Enterprise Tools,Business Systems,User Acceptance Testing,uat,abbrev_context,TRUE,45,5,token,user acceptance testing|acceptance testing|test case|qa|system testing|implementation|go-live,,TRUE,abbrev; context_guard
Information Systems & Enterprise Tools,Business Systems,System Integration,si,risky_abbrev,TRUE,20,8,token,,,TRUE,abbrev; context_guard
Database & Query Languages,Cloud Data Warehouses,BigQuery,bq,abbrev_context,TRUE,45,4,token,bigquery|google cloud|gcp|sql|data warehouse,,TRUE,abbrev; context_guard
Data Engineering & Cloud,Cloud Services,Amazon S3,s3,risky_abbrev,TRUE,20,8,token,,,TRUE,short; context_guard
Sales / BD / Customer Success,Customer Success,Customer Success,cs,risky_abbrev,TRUE,10,10,token,customer success|customer service|client success|customer onboarding|customer retention|support,computer science,TRUE,abbrev; context_guard
Data Engineering & Cloud,Data Pipeline,Data Quality,dq,abbrev_context,TRUE,35,6,token,data quality|data governance|data cleaning|validation|data integrity,,TRUE,abbrev; context_guard
Machine Learning & AI,Deep Learning,Deep Learning,dl,risky_abbrev,TRUE,20,8,token,deep learning|neural network|tensorflow|pytorch|keras|cnn|transformer,,TRUE,abbrev; context_guard
Machine Learning & AI,Deep Learning,Neural Network,nn,risky_abbrev,TRUE,15,9,token,neural network|deep learning|tensorflow|pytorch|keras,,TRUE,abbrev; context_guard
Machine Learning & AI,Deep Learning,TensorFlow,tf,risky_abbrev,TRUE,20,8,token,tensorflow|deep learning|neural network|keras|pytorch|model training,,TRUE,abbrev; context_guard
