skill_parent_category,skill_sub_category,canonical_skill_name
Finance & Accounting,Accounting,Accounting
Finance & Accounting,Accounting,Financial Reporting
Finance & Accounting,Accounting,Cost Accounting
Finance & Accounting,Accounting,Revenue Recognition
Finance & Accounting,Accounting,Management Accounting
Finance & Accounting,Accounting,IFRS
Finance & Accounting,Accounting,GAAP
Finance & Accounting,Accounting,Financial Accounting
Finance & Accounting,Accounting,Accounting Standards
Project / Program Management,Agile / Scrum,Agile
Project / Program Management,Agile / Scrum,Scrum
Project / Program Management,Agile / Scrum,Jira
Project / Program Management,Agile / Scrum,Confluence
Data Engineering & Cloud,Analytics Engineering,dbt
Data Engineering & Cloud,Analytics Engineering,Semantic Layer
Data Engineering & Cloud,Analytics Engineering,Data Mart
Statistics & Experimentation,Analytics Methods,Segmentation
Statistics & Experimentation,Analytics Methods,Cohort Analysis
Statistics & Experimentation,Analytics Methods,Funnel Analysis
Statistics & Experimentation,Analytics Methods,Churn Analysis
Statistics & Experimentation,Analytics Methods,Root Cause Analysis
Data Engineering & Cloud,API / Integration,REST API
Data Engineering & Cloud,API / Integration,API Integration
Finance & Accounting,Audit / Tax,Auditing
Finance & Accounting,Audit / Tax,Internal Audit
Finance & Accounting,Audit / Tax,Tax
Finance & Accounting,Audit / Tax,Transfer Pricing
Software & Technical Delivery,Automation / RPA,Automation
Software & Technical Delivery,Automation / RPA,RPA
Software & Technical Delivery,Automation / RPA,Power Automate
Software & Technical Delivery,Automation / RPA,UiPath
Software & Technical Delivery,Automation / RPA,Automation Anywhere
Software & Technical Delivery,Automation / RPA,Blue Prism
BI & Data Visualization,BI Tools,Tableau
BI & Data Visualization,BI Tools,Power BI
BI & Data Visualization,BI Tools,Looker
BI & Data Visualization,BI Tools,Looker Studio
BI & Data Visualization,BI Tools,Qlik
BI & Data Visualization,BI Tools,Metabase
BI & Data Visualization,BI Tools,Apache Superset
BI & Data Visualization,BI Tools,MicroStrategy
BI & Data Visualization,BI Tools,Grafana
BI & Data Visualization,BI Tools,Kibana
BI & Data Visualization,BI Tools,Google Analytics
BI & Data Visualization,BI Tools,Google Tag Manager
BI & Data Visualization,BI Tools,Amplitude
BI & Data Visualization,BI Tools,Mixpanel
BI & Data Visualization,BI Tools,Hotjar
BI & Data Visualization,BI Tools,Clarity
BI & Data Visualization,BI Tools,Google Search Console
BI & Data Visualization,BI Tools,Ahrefs
BI & Data Visualization,BI Tools,SEMrush
Data Engineering & Cloud,Big Data Processing,Spark
Data Engineering & Cloud,Big Data Processing,PySpark
Marketing & Growth,Brand / Campaign,Brand Management
Marketing & Growth,Brand / Campaign,Campaign Management
Marketing & Growth,Brand / Campaign,Integrated Marketing
Marketing & Growth,Brand / Campaign,Marketing Communications
Programming & Scripting,Business Automation,VBA
Programming & Scripting,Business Automation,Google Apps Script
Sales / BD / Customer Success,Business Development,Business Development
Sales / BD / Customer Success,Business Development,Partnership Management
Sales / BD / Customer Success,Business Development,Channel Sales
Sales / BD / Customer Success,Business Development,Lead Generation
Information Systems & Enterprise Tools,Business Systems,Business Systems Analysis
Information Systems & Enterprise Tools,Business Systems,Requirements Gathering
Information Systems & Enterprise Tools,Business Systems,Solution Design
Information Systems & Enterprise Tools,Business Systems,User Acceptance Testing
